Module,Subsection,Route,Page Type,In Sidebar,Depth,File Path
Finance,Reports,/finance/reports/cash-flow,feature,Yes,3,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\finance\reports\cash-flow\page.tsx
Finance,Reports,/finance/reports/profit-loss,feature,Yes,3,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\finance\reports\profit-loss\page.tsx
Finance,Reports,/finance/reports/trial-balance,feature,Yes,3,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\finance\reports\trial-balance\page.tsx
Finance,Tax,/finance/tax,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\finance\tax\page.tsx
Finance,Tax,/finance/tax/gst,feature,Yes,3,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\finance\tax\gst\page.tsx
Finance,Tax,/finance/tax/tax-reports,feature,Yes,3,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\finance\tax\tax-reports\page.tsx
Finance,Tax,/finance/tax/tds,feature,Yes,3,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\finance\tax\tds\page.tsx
Finance,Workflows,/finance/workflows,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\finance\workflows\page.tsx
Hr,Attendance,/hr/attendance,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\hr\attendance\page.tsx
Hr,Attendance,/hr/attendance/add,create,No,3,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\hr\attendance\add\page.tsx
Hr,Attendance,/hr/attendance/view/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\hr\attendance\view\[id]\page.tsx
Hr,Dashboard,/hr,dashboard,Yes,1,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\hr\page.tsx
Hr,Employees,/hr/employees,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\hr\employees\page.tsx
Hr,Employees,/hr/employees/add,create,No,3,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\hr\employees\add\page.tsx
Hr,Employees,/hr/employees/edit/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\hr\employees\edit\[id]\page.tsx
Hr,Employees,/hr/employees/view/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\hr\employees\view\[id]\page.tsx
Hr,Leave,/hr/leave,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\hr\leave\page.tsx
Hr,Leave,/hr/leave/add,create,No,3,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\hr\leave\add\page.tsx
Hr,Leave,/hr/leave/edit/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\hr\leave\edit\[id]\page.tsx
Hr,Leave,/hr/leave/view/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\hr\leave\view\[id]\page.tsx
Hr,Payroll,/hr/payroll,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\hr\payroll\page.tsx
Hr,Payroll,/hr/payroll/add,create,No,3,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\hr\payroll\add\page.tsx
Hr,Payroll,/hr/payroll/edit/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\hr\payroll\edit\[id]\page.tsx
Hr,Payroll,/hr/payroll/view/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\hr\payroll\view\[id]\page.tsx
Hr,Performance,/hr/performance,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\hr\performance\page.tsx
Hr,Performance,/hr/performance/add,create,No,3,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\hr\performance\add\page.tsx
Hr,Performance,/hr/performance/edit/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\hr\performance\edit\[id]\page.tsx
Hr,Performance,/hr/performance/view/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\hr\performance\view\[id]\page.tsx
Inventory,Dashboard,/inventory,dashboard,Yes,1,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\inventory\page.tsx
Inventory,Movements,/inventory/movements,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\inventory\movements\page.tsx
Inventory,Movements,/inventory/movements/add,create,No,3,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\inventory\movements\add\page.tsx
Inventory,Movements,/inventory/movements/view/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\inventory\movements\view\[id]\page.tsx
Inventory,Stock,/inventory/stock,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\inventory\stock\page.tsx
Inventory,Stock,/inventory/stock/add,create,No,3,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\inventory\stock\add\page.tsx
Inventory,Stock,/inventory/stock/edit/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\inventory\stock\edit\[id]\page.tsx
Inventory,Stock,/inventory/stock/view/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\inventory\stock\view\[id]\page.tsx
Inventory,Transfers,/inventory/transfers,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\inventory\transfers\page.tsx
Inventory,Warehouse,/inventory/warehouse,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\inventory\warehouse\page.tsx
Inventory,Warehouse,/inventory/warehouse/view/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\inventory\warehouse\view\[id]\page.tsx
It Admin,Audit,/it-admin/audit,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\it-admin\audit\page.tsx
It Admin,Roles,/it-admin/roles,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\it-admin\roles\page.tsx
It Admin,System,/it-admin/system,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\it-admin\system\page.tsx
It Admin,Users,/it-admin/users,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\it-admin\users\page.tsx
Logistics,Carriers,/logistics/carriers,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\logistics\carriers\page.tsx
Logistics,Carriers,/logistics/carriers/add,create,No,3,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\logistics\carriers\add\page.tsx
Logistics,Carriers,/logistics/carriers/edit/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\logistics\carriers\edit\[id]\page.tsx
Logistics,Carriers,/logistics/carriers/view/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\logistics\carriers\view\[id]\page.tsx
Logistics,Dashboard,/logistics,dashboard,Yes,1,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\logistics\page.tsx
